id,nil_name
1,Duomo
2,Brera
4,Guastalla
5,Porta Vigentina - Porta Lodovica
6,Porta Ticinese - Conca del Naviglio
7,Magenta- San Vittore
8,Parco Sempione
9,Porta Garibaldi - Porta Nuova
10,Stazione Centrale - Ponte Seveso
11,Isola
12,Maciachini-Maggiolina
13,Greco – Segnano
14,Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi
15,Bicocca
16,Gorla – Precotto
17,Adriano
18,Cimiano - Rottole - Q.re Feltre
19,Padova - Turro – Crescenzago
20,Loreto - Casoretto – NoLo
21,Buenos Aires - Porta Venezia - Porta Monforte
22,Città studi
23,Lambrate – Ortica
24,Parco Forlanini – Cavriano
25,Corsica
26,XXII Marzo
27,Porta Romana
28,Umbria - Molise – Calvairate
29,Ortomercato
30,Taliedo - Morsenchio - Q.re Forlanini
33,Rogoredo - Santa Giulia
35,Lodi-Corvetto
36,Scalo Romana
37,Morivione
38,Vigentino - Q.re Fatima
41,Gratosoglio - Q.re Missaglia - Q.re Terrazze
42,Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata
43,Tibaldi
44,Porta Ticinese – Conchetta
45,Moncucco - San Cristoforo
46,Barona
48,Ronchetto sul Naviglio - Q.re Lodovico il Moro
49,Giambellino
50,Porta Genova
51,Porta Magenta
52,Bande Nere
53,Lorenteggio
55,Baggio - Q.re degli Olmi - Q.re Valsesia
56,Forze Armate
57,San Siro
58,De Angeli-Monte Rosa
59,Tre Torri
60,Stadio – Ippodromi
61,Quarto Cagnino
65,Q.re Gallaratese - Q.re San Leonardo – Lampugnano
66,QT8
67,Portello
68,Pagano
69,Sarpi
70,Ghisolfa
71,Villapizzone - Cagnola – Boldinasco
72,Maggiore - Musocco – Certosa
76,Quarto Oggiaro - Vialba – Musocco
77,Bovisa
78,Farini
79,Dergano
80,Affori
81,Bovisasca
83,Bruzzano
